left_green	right_green
128.086	71.111
97.346	119.716
112.346	99.395
135.198	127.123
90.741	97.667
79.519	85.753
112.926	74.667
97.741	108.235
130.178	120.086
111.457	67.469
89.716	73.728
102.494	98
112.617	89.247
101.136	73.432
87.235	98.259
114.593	88.296
155.259	104.16
134.494	95.617
70.21	136.074
78.753	133.42
121.951	112.407
112.346	95.481
89.58	89.185
125.407	89.926
103.309	192.309
64.21	137.222
132.444	120.605
104.728	90.938
149.691	97.284
132.148	106.704
79.765	87.531
60.086	99.79
72.605	88.16
98.938	54.827
81.938	97.519
70.877	106.864
93	134.704
125	96.864
168.259	87.568
107.728	98.691
151.704	105.889
76.864	133.605
88.259	86.062
85.325	86.16
137.963	98.111
100.16	160.765
77.753	58.469
70.346	117.37
103.235	95.901
124.235	108.395
117	88.049
132.728	77.086
115.086	41.37
71.58	154.296
176.815	167
98.691	173.407
139.481	116.457
122.481	114.864
162.148	92.765
110.802	49.259
109.42	101.568
141.765	141.185
103.21	145.42
83.333	88.852
98.877	103.691
141.642	173.123
135.284	113.457
88.852	145.593
110.284	120.802
73.667	158.988
188.741	140.617
113.123	134.901
99.691	115.086
80.938	101.568
117.765	140.494
134.185	112.951
113.049	112.111
116.296	208.901
135.012	157.309
140.272	166.259
144.827	146.963
119.938	113.444
118.235	103.802
120.691	89.481
156.432	108.58
89.086	117.765
106.617	97.667
83.025	90.617
112.272	107.938
109.235	100.58
84.556	115.63
155.728	97.543
119.321	73.864
122.235	171.235
114.556	169.148
59.938	101.889
132.012	144.21
82.309	147.284
110.741	88.42
105.284	112.914
125.827	143.037
94.877	140.802
135.111	181.864
150.062	136.852
117.074	87.605
102.963	107.062
114.556	136.025
124.481	99.494
127.963	147.901
142.272	82.099
114.716	187.21
160.062	115.617
119.914	108.778
80.235	179.025
107.469	134.123
84.21	162.877
88.296	112.778
134.975	186.407
134.852	141.864
117	134.802
159.099	215.481
150.42	142.704
92.568	99.37
82.988	98.654
69.025	110.457
103.963	130.321
118.037	152.333
117.667	108.333
103.42	129.444
107.617	107.728
115.173	105.407
114.815	153.173
98.481	91.346
102.765	132.148
107.16	128.654
91.877	92.148
96.062	129.481
122.481	110.605
128.037	125.494
75.617	113.556
89.16	125.679
120.012	155.049
105.593	121.543
84.284	117.062
99.235	147.074
89.58	115.864
151.988	151.753
109.901	127.272
94.309	118.185
159.012	169.506
136.432	149.605
93.123	125.21
104.42	89.58
75.642	98.284
77.012	134.457
119.222	105.235
110.58	178.691
125.309	121.556
114.123	180.321
95.173	174.494
84.58	150.568
136.914	134.901
154.309	212.296
149.642	128.827
113.79	151.272
157.42	171.309
194.63	89.494
106.432	131.012
180.469	179.407
94.099	163.037
175.58	123.679
105.914	145.099
125.58	164.654
119.864	148.272
136.272	144.099
204.321	101.37
96.16	149.938
86.963	114.815
130.506	89.333
158.086	220.617
72	159.778
79.025	162.84
111.864	161.58
99.728	191.111
93.111	152.136
120.63	88.235
136.457	181.556
148.741	156.741
166.284	155.37
79.888	105.827
148.346	148.617
98.123	198.877
160.136	127.753
125.617	153.914
143.074	78.222
154.148	137.679
135.926	108.407
187.864	151.272
73.852	89.407
128.296	119.309
121.877	183.481
105.16	164.358
142.222	117.951
97.543	197.012
120.444	118.84
146.012	103.222
128.802	175.852
124.37	157.765
119.222	71.272
108.407	111.198
120.321	199.543
