left_intensity right_intensity
45.211627 29.995279
31.214220 45.077486
26.355953 48.821792
34.270320 35.576745
30.269395 45.462414
20.331235 28.770505
25.078689 38.160433
19.940474 17.800037
23.078226 20.383725
20.383725 42.464636
31.435845 31.797445
42.184688 31.663303
20.442048 35.465932
49.877430 49.241714
20.080448 36.270783
27.189965 29.936956
25.440289 24.215516
24.302999 31.412516
28.578041 26.023514
23.159878 28.607202
26.355953 22.384188
24.495464 40.545825
29.382892 42.050546
36.078319 40.050083
39.356045 39.245232
26.326791 33.687095
43.864018 48.626561
28.603859 39.158683
43.592281 36.913280
32.894438 37.256527
38.343473 46.853121
48.083087 42.090579
33.309194 29.833825
37.113507 30.649035
40.932123 40.517367
51.014983 26.830420
45.494438 38.271964
37.185017 42.977299
32.822928 57.622474
29.891033 42.162089
37.928717 35.955051
35.483087 39.087174
33.437911 33.094665
46.238138 48.626561
40.660386 49.913734
38.001765 33.254941
30.410471 33.254941
24.585647 36.706353
24.368235 30.501059
27.439176 23.118118
28.897647 17.383882
20.663176 24.803059
26.533294 27.692824
18.027059 40.375176
26.741647 35.066706
30.673176 38.826118
23.770353 44.044000
29.595176 43.654471
26.786941 28.770824
30.193059 37.657529
28.725529 33.254941
34.423529 38.001765
22.176000 27.910235
27.611294 36.063176
29.894118 44.650941
33.300235 33.816588
24.286706 37.186471
26.786941 41.888000
26.098471 37.231765
58.927647 33.218706
43.826588 42.485882
23.770353 39.297176
35.157294 38.047059
27.475412 39.387765
43.437059 36.878471
26.397412 37.141176
27.520706 36.108471
30.283647 34.251412
24.975176 20.536353
26.361176 38.219176
23.897176 38.391294
54.996118 42.667059
38.655102 37.209184
20.839796 41.626531
27.101020 30.510204
29.502041 32.778571
31.332653 30.510204
29.250000 30.947959
29.873469 34.171429
22.418367 34.927551
37.328571 31.969388
26.663265 32.592857
44.850000 44.160204
34.808163 57.730612
45.420408 62.731633
41.944898 38.602041
39.411224 33.547959
