left_intensity right_intensity
45.433253 32.217367
47.182929 38.212924
41.770598 25.854379
43.409461 40.073412
46.436401 34.964358
30.630994 25.492779
50.629791 32.800592
48.961766 51.213016
41.379837 34.771894
57.406869 37.606369
50.991390 50.658952
48.547676 45.299111
54.764858 41.992224
46.937974 52.128680
43.269487 34.882707
27.160804 41.963062
45.602388 30.549343
44.797537 34.410294
37.023144 35.716719
43.106016 36.098070
34.396141 24.656527
24.585017 30.377299
30.720545 23.297843
36.226788 51.215210
31.807491 32.422474
30.720545 28.403632
34.396141 37.656981
33.037457 38.758229
31.936209 41.747333
37.385244 26.558683
29.962543 29.891033
29.218842 33.237684
30.777753 21.181158
36.169580 32.007719
32.350965 27.988876
39.702157 44.807946
34.160824 30.455765
37.358588 34.079294
43.355529 36.969059
36.498000 20.146824
53.918118 45.294118
62.243176 44.732471
25.627412 39.768235
43.998706 31.878000
32.702353 37.956471
41.933294 22.302824
38.219176 49.778235
46.326824 39.387765
41.407882 38.826118
40.465765 29.377765
45.846706 62.034824
39.514588 40.248353
46.979059 34.160824
38.436588 38.092353
32.521176 31.751176
30.537294 30.156824
41.326353 29.332471
48.102353 45.556824
43.609176 37.874941
48.356000 50.339882
62.071059 48.446588
30.156824 45.765176
28.471882 47.884941
32.140706 38.735529
38.481882 47.278000
40.936824 35.673647
24.413529 26.832235
53.492353 40.547294
31.832706 31.832706
33.735059 28.209176
29.504588 40.719412
35.592118 25.663647
36.579529 47.196471
39.125059 30.627882
31.796471 36.108471
31.796471 29.250941
22.692353 32.910706
33.001294 27.303294
38.092353 26.913765
55.820471 43.609176
41.371647 35.456235
63.112824 44.823059
28.209176 21.224824
32.349059 41.407882
32.004824 33.001294
45.937294 42.667059
43.871882 32.783882
39.159184 34.423469
42.953061 31.704082
29.820408 30.258163
51.416327 40.114286
30.894898 29.820408
44.597959 30.006122
42.515306 23.559184
46.428571 33.800000
38.655102 37.076531
34.741837 36.957143
42.382653 30.510204
