left_intensity right_intensity
33.229712 27.649894
39.058725 31.474507
39.524613 28.375812
35.548316 31.832049
38.744522 43.750106
33.381396 29.047557
39.936328 38.441153
30.748589 42.569135
37.975266 33.847284
26.057208 28.690015
47.540630 41.981322
52.657607 51.079286
45.339024 46.867079
37.437367 39.538444
30.591275 38.874946
51.411035 45.570243
39.689238 34.421467
36.673339 33.888658
39.829980 41.790315
33.506644 30.641540
25.806047 48.304658
38.774416 35.758516
30.872759 43.227894
42.323124 39.638974
33.798181 36.522544
27.575375 28.007654
38.392402 36.713551
38.874946 28.339403
27.002354 32.501344
34.471732 29.103431
32.742616 40.453266
23.554176 43.750650
26.620340 38.342137
40.020987 50.365523
32.601874 52.798349
34.511944 41.981322
35.135230 55.241227
26.679375 47.298516
34.111230 43.838086
25.271895 41.838926
28.221328 43.972559
37.912324 40.341797
30.480469 44.142891
16.862871 27.405527
22.797598 54.900703
25.782891 48.840469
25.908398 54.425566
28.086855 51.269941
39.355664 56.012344
26.804883 38.719160
34.191914 42.430605
37.697168 62.027754
42.475430 81.705586
33.680918 54.640723
41.067949 50.418281
29.709492 49.602480
30.605977 45.935859
47.173008 53.618730
26.894531 41.964434
29.628809 52.507090
27.620684 42.475430
27.154512 42.735410
26.509043 53.744238
20.359160 37.051699
29.458477 42.771270
41.327930 41.283105
24.330586 34.792559
29.969473 41.023125
19.937812 35.859375
29.754316 49.692129
19.086152 36.495879
24.115430 32.363086
24.465059 54.049043
22.412109 42.645762
30.050156 31.421777
43.246406 50.292773
43.587070 57.079160
27.190371 37.912324
27.862504 38.028184
37.637546 41.053360
26.908619 35.820623
23.056744 43.515289
34.221732 39.363622
38.064523 50.437763
17.651400 41.225967
28.380327 45.895458
32.014171 53.899000
47.757803 52.781593
41.053360 55.852192
34.476101 32.268540
38.546007 34.912162
