left_intensity right_intensity
30.670 25.520
36.050 29.050
36.480 26.190
32.810 29.380
35.760 40.380
30.810 26.810
36.860 35.480
28.380 39.290
35.050 31.240
24.050 26.480
47.290 41.760
52.380 50.810
45.100 46.620
37.240 39.330
30.430 38.670
51.140 45.330
39.480 34.240
36.480 33.710
39.620 41.570
33.330 30.480
25.670 48.050
38.570 35.570
30.710 43.000
42.100 39.430
33.620 36.330
27.430 27.860
38.190 36.520
38.670 28.190
26.860 32.330
34.290 28.950
32.570 40.240
23.430 43.520
26.480 38.140
39.810 50.100
32.430 52.520
34.330 41.760
34.950 54.950
29.760 52.760
38.050 48.900
28.190 46.670
31.480 49.050
42.290 45.000
34.000 49.240
18.810 30.570
25.430 61.240
28.760 54.480
28.900 60.710
31.330 57.190
43.900 62.480
29.900 43.190
38.140 47.330
42.050 69.190
47.380 91.140
37.570 60.950
45.810 56.240
33.140 55.330
34.140 51.240
52.620 59.810
30.000 46.810
33.050 58.570
30.810 47.380
30.290 47.670
29.570 59.950
22.710 41.330
32.860 47.710
46.100 46.050
27.140 38.810
33.430 45.760
22.240 40.000
33.190 55.430
21.290 40.710
26.900 36.100
27.290 60.290
25.000 47.570
33.520 35.050
48.240 56.100
48.620 63.670
30.330 42.290
30.670 41.860
41.430 45.190
29.620 39.430
25.380 47.900
37.670 43.330
41.900 55.520
19.430 45.380
31.240 50.520
35.240 59.330
52.570 58.100
45.190 61.480
37.950 35.520
42.430 38.430
