left_intensity right_intensity
50.045760 24.853490
36.970287 33.229289
41.360013 26.259067
34.699739 29.927984
45.410959 23.887606
27.664644 26.878963
40.538291 34.115884
38.411905 20.081735
33.532029 25.913079
43.522440 22.518069
32.811220 21.314318
26.633888 17.948141
41.633920 22.381115
33.532029 24.745369
43.796347 28.796314
39.644488 25.538258
43.039498 29.416210
46.304762 21.386399
32.948174 29.142303
38.923679 27.462818
36.862166 24.716536
35.319635 27.873679
28.212459 26.086073
39.233627 25.603131
33.085127 28.010633
29.625245 25.437345
25.848206 30.410926
34.425832 25.401305
40.401337 21.934214
32.984214 22.172081
57.355918 24.646531
50.292245 36.275918
44.408163 38.857143
46.850612 44.671837
47.322449 31.724082
42.756735 36.081633
41.299592 47.377959
41.174694 32.709388
57.092245 35.887347
44.269388 33.500408
52.247872 22.665160
46.822340 28.090691
45.208245 32.688830
42.956649 39.077394
30.098138 26.802128
41.912234 34.045213
39.470745 40.555851
31.644415 34.750532
29.325000 43.919681
41.532447 36.757979
33.977394 32.743085
35.917021 25.906915
49.860638 35.455851
38.751862 38.046543
37.118898 24.764736
34.918841 18.807660
32.177233 22.621091
31.003870 16.923510
26.964792 19.823071
40.988740 27.021204
35.990664 22.237492
36.802992 17.724556
27.134027 20.364623
32.876738 19.608706
44.113948 33.790607
39.973330 24.877559
39.860506 31.003870
40.458470 24.121642
45.456547 31.861327
35.460394 23.478549
40.029741 26.863251
30.191541 25.035512
36.103487 26.806839
34.433701 18.852790
31.105411 24.606783
32.933150 21.921586
42.286209 24.392418
35.347570 26.163746
28.262261 27.404803
37.604038 23.049820
36.261440 20.522576
29.548448 26.062205
35.776299 28.634578
